2017-08-08

hora     Int          ext
0        31.562         31.687
1        29.937         30.187
2        29.0         29.25
3        28.375         28.625
4        27.75         28.0
5        27.625         27.75
6        27.187         27.375
7        27.437         27.687
8        27.875         27.937
9        27.25         27.375
10       27.437         27.562
11       27.375         27.437
12       27.187         27.5
13       27.812         27.937
14       27.875         28.125
15       28.5         28.562
16       29.375         29.312
17       29.5         29.562
18       29.625         29.75
19       30.375         30.437
20       30.625         30.687
21       29.562         29.687
22       28.5         28.625
23       28.125         28.187
La temperatura maxima ha sido 23
Temperatura minima ha sido de 0
